Location,Total Overall Score
Albania,0
Algeria,42.1–44.918.4–24.318.4–24.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.3
Argentina,18.4–24.310.4–18.310.4–18.3
Armenia,0
Australia,77.673.670.96959.456.251.2–54.351.2–54.351.2–54.348.9–51.148.9–51.148.9–51.148.9–51.147.0–48.747.0–48.747.0–48.747.0–48.747.0–48.745.0–46.945.0–46.942.1–44.939.3–42.034.0–39.234.0–39.224.4–29.7
Austria,60.456.654.651.2–54.342.1–44.942.1–44.942.1–44.939.3–42.034.0–39.234.0–39.224.4–29.7
Azerbaijan,10.4–18.3
Bangladesh,34.0–39.234.0–39.218.4–24.318.4–24.318.4–24.3
Belgium,62.759.456.551.2–54.351.2–54.347.0–48.745.0–46.939.3–42.029.8–33.9
Botswana,24.4–29.7
Brazil,51.2–54.342.1–44.934.0–39.234.0–39.229.8–33.929.8–33.929.8–33.929.8–33.924.4–29.724.4–29.724.4–29.724.4–29.718.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.3
Brunei Darussalam,47.0–48.7
Bulgaria,18.4–24.310.4–18.3
Cambodia,0
Canada,87.475.761.151.2–54.351.2–54.348.9–51.147.0–48.745.0–46.939.3–42.039.3–42.034.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.229.8–33.929.8–33.918.4–24.3
Chile,42.1–44.934.0–39.234.0–39.229.8–33.929.8–33.929.8–33.924.4–29.718.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.310.4–18.310.4–18.310.4–18.310.4–18.3
China,7271.263.656.456.154.548.9–51.148.9–51.148.9–51.147.0–48.745.0–46.945.0–46.945.0–46.942.1–44.942.1–44.942.1–44.942.1–44.942.1–44.942.1–44.942.1–44.942.1–44.939.3–42.039.3–42.039.3–42.039.3–42.039.3–42.039.3–42.039.3–42.034.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.234.0–39.229.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.929.8–33.924.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.724.4–29.718.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.310.4–18.310.4–18.310.4–18.3
Colombia,34.0–39.229.8–33.924.4–29.724.4–29.718.4–24.318.4–24.318.4–24.318.4–24.318.4–24.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.3
Costa Rica,34.0–39.2
Croatia,24.4–29.718.4–24.310.4–18.3
Cuba,10.4–18.3
Cyprus,34.0–39.2
Czech Republic,39.3–42.029.8–33.929.8–33.924.4–29.724.4–29.718.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.318.4–24.310.4–18.310.4–18.310.4–18.310.4–18.3
Denmark,61.761.256.848.9–51.148.9–51.148.9–51.129.8–33.9
Ecuador,24.4–29.718.4–24.310.4–18.310.4–18.310.4–18.310.4–18.310.4–18.3
