x_fit,y_fit
6.7,61.957444792574485
9.9,61.22732278128276
10.3,61.136057529871294
10.6,61.06760859131269
11.2,60.93071071419549
11.3,60.907894401342624
11.8,60.79381283707829
11.8,60.79381283707829
11.9,60.770996524225424
12.3,60.67973127281396
13.5,60.40593551857956
13.5,60.40593551857956
13.7,60.36030289287383
13.9,60.3146702671681
14.2,60.2462213286095
14.5,60.1777723900509
14.6,60.15495607719803
14.8,60.1093234514923
14.9,60.08650713863943
15.0,60.063690825786566
16.1,59.812711384405034
17.1,59.58454825587637
17.2,59.5617319430235
18.0,59.37920144020057
18.6,59.24230356308337
19.3,59.08258937311331
24.4,57.918957417617115
27.5,57.21165171917825
33.9,55.7514076965948
34.2,55.68295875803619
36.5,55.15818356242027
40.6,54.22271473545274
41.9,53.92610266836547
47.5,52.64838914860495
50.0,52.07798132728329
53.2,51.34785931599156
