University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,51.732242532132084,-1.307227323949877,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,42.366580797515795,-71.07608567891687,North America
3,University of Cambridge,United Kingdom,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,52.19507625806295,0.07427291335102267,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,37.46715693422954,-122.15884851564084,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,42.32458899619886,-71.08890704087175,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,34.16229994323756,-118.11289284889705,North America
7,Princeton University,United States,8279,8.0,23%,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,40.37657325622524,-74.6202579522209,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,37.893579998672685,-122.22261863156528,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,41.33040044309605,-72.90645106049574,North America
10,Imperial College London,United Kingdom,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.458941976261016,-0.16234177034358088,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,40.8512649962852,-73.98261061132081,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,47.392406793990396,8.577394562863633,Europe
13,The University of Chicago,United States,15366,6.0,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,41.80111230512876,-87.59743772559979,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,39.95279200175749,-75.19256371552613,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,39.3085735291222,-76.60494017351385,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,39.99307731286422,116.30072723063009,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,39.95758124085266,116.30861642664254,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.67664411603954,-79.43284550393413,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,1.2693591706400842,103.73375930188978,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,42.45996155558109,-76.42701986011618,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.08241668811175,-118.42939744780503,North America
22,UCL,United Kingdom,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.484597893975916,-0.11604806880763312,Europe
