University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,England,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99,74.9,96.2,51.73224253,-1.307227324,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99,99.3,49.5,80.5,42.3665808,-71.07608568,North America
3,University of Cambridge,England,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97,54.2,95.8,52.19507626,0.074272913,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65,79.8,37.46715693,-122.1588485,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,42.324589,-71.08890704,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97,97.3,89.8,83.6,34.16229994,-118.1128928,North America
7,Princeton University,United States,8279,8,23%,46:54:00,92.4,87.6,95.9,99.1,66,80.3,40.37657326,-74.62025795,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99,76.8,78.4,37.89358,-122.2226186,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97,55,70.9,41.33040044,-72.90645106,North America
10,Imperial College London,England,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.45894198,-0.16234177,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,40.851265,-73.98261061,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,47.39240679,8.577394563,Europe
13,The University of Chicago,United States,15366,6,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,41.80111231,-87.59743773,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86,88.8,97,75.8,71.5,39.952792,-75.19256372,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97,89.5,75.3,39.30857353,-76.60494017,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88,100,40.3,39.99307731,116.3007272,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65,39.95758124,116.3086164,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.67664412,-79.4328455,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93,90.2,87,94,1.269359171,103.7337593,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,42.45996156,-76.42701986,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65,34.08241669,-118.4293974,North America
22,UCL,England,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.48459789,-0.116048069,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,17%,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,42.24829965,-83.70215318,North America
24,New York University,United States,36337,9.8,42%,57:43:00,82.7,74.2,84,95,44.6,74.7,40.77043342,-74.01237168,North America
25,Duke University,United States,16091,4.2,24%,52:48:00,82.6,78.1,76.2,95.7,99.6,68,35.96083887,-78.94774572,North America
26,Northwestern University,United States,19175,13.2,20%,51:49:00,82.1,71.7,80.7,97.5,85,67,42.0289816,-87.68327713,North America
26,University of Washington,United States,47727,10.8,18%,55:45:00,82.1,71.6,82.8,98.9,53.9,63,47.65419787,-122.3563124,North America
28,Carnegie Mellon University,United States,14305,12.9,47%,44:56:00,81.1,65.4,81.8,98.7,55.2,80.1,40.42108999,-79.9805537,North America
29,University of Edinburgh,Scotland,32845,11.8,47%,62:38:00,79.8,66.9,74.5,97.1,40.9,95.6,55.9376719,-3.208925166,Europe
30,Technical University of Munich,Germany,33960,40.6,36%,37 : 63,79.3,69.8,82.2,84.5,100,77.7,48.19536313,11.59216975,Europe
31,University of Hong Kong,Hong Kong,18087,18.2,43%,54:46:00,78.5,65.6,74.1,92.4,60.6,98.7,22.31284309,114.1685119,Asia
