University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,49.395032164989175,1.1236091252278761,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,41.31505559290325,-70.57001263381744,North America
3,University of Cambridge,United Kingdom,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,53.2668907134423,-1.7690265430036056,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,38.540618719826114,-123.45092725707032,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,43.61595205813664,-71.89859693767423,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,35.65750254718671,-119.75922725652799,North America
7,Princeton University,United States,8279,8.0,23%,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,38.85557278791771,-72.58413063136373,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,37.72797030066913,-123.0204322116768,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,39.811233785907625,-74.09500976321748,North America
10,Imperial College London,United Kingdom,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,52.23428853635525,-1.3360275013025391,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,41.02337198947731,-73.82499625756529,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,46.42121552734337,8.243555167240462,Europe
13,The University of Chicago,United States,15366,6.0,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,41.712043237909796,-87.60016484247429,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,40.52172504400854,-73.37524338112499,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,41.142187424765375,-76.11994604733535,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,39.96723308650972,115.78862763504728,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,41.50990648488197,116.37409019819698,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,45.003686951538995,-80.86579592251223,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,2.796215907648003,103.97677196312551,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,40.8636926218941,-78.12966480394829,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.18029838081518,-117.87599699597055,North America
22,UCL,United Kingdom,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,53.87567340110034,1.2093640694922176,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,17%,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,43.773516702825646,-84.25453155995856,North America
24,New York University,United States,36337,9.8,42%,57:43:00,82.7,74.2,84.0,95.0,44.6,74.7,39.17124289039208,-76.24436020686454,North America
25,Duke University,United States,16091,4.2,24%,52:48:00,82.6,78.1,76.2,95.7,99.6,68.0,37.12698035386734,-79.14866513460274,North America
26,Northwestern University,United States,19175,13.2,20%,51:49:00,82.1,71.7,80.7,97.5,85.0,67.0,41.919642696550284,-86.23269038264893,North America
26,University of Washington,United States,47727,10.8,18%,55:45:00,82.1,71.6,82.8,98.9,53.9,63.0,45.49693462424059,-120.87261721995571,North America
28,Carnegie Mellon University,United States,14305,12.9,47%,44:56:00,81.1,65.4,81.8,98.7,55.2,80.1,41.294830814464625,-81.61477957499407,North America
29,University of Edinburgh,United Kingdom,32845,11.8,47%,62:38:00,79.8,66.9,74.5,97.1,40.9,95.6,53.59735674081549,-4.024038043887554,Europe
30,Technical University of Munich,Germany,33960,40.6,36%,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7,46.87217366530398,10.921932341041268,Europe
31,University of Hong Kong,Hong Kong,18087,18.2,43%,54:46:00,78.5,65.6,74.1,92.4,60.6,98.7,21.53674500373074,115.45571349070755,Asia
32,"University of California, San Diego",United States,37030,11.3,28%,48:52:00,78.1,60.2,77.2,98.2,93.0,67.8,34.32605986745941,-118.70741474439505,North America
33,LMU Munich,Germany,35003,34.2,19%,61:39:00,77.7,67.3,78.3,87.4,100.0,70.5,46.689171233486675,11.090013868183311,Europe
34,University of Melbourne,Australia,49588,23.8,47%,58:42:00,77.6,67.1,75.9,85.8,78.1,93.6,-40.069443564397396,145.07907354209308,Oceania
35,King’s College London,United Kingdom,28965,11.8,52%,63:37:00,77.1,58.0,72.9,98.2,45.6,96.1,49.566083196942834,-0.1328303498486011,Europe
36,"Nanyang Technological University, Singapore",Singapore,24651,15.1,25%,48:52:00,77.0,60.9,77.9,87.2,84.5,94.5,0.9307044685027221,102.87018350230572,Asia
37,London School of Economics and Political Science,United Kingdom,11120,11.9,73%,55:45:00,76.5,59.2,74.3,95.1,37.8,92.8,49.49546484733824,0.027375726414644516,Europe
38,Georgia Institute of Technology,United States,28826,24.7,40%,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2,35.338561475438055,-84.53937161434801,North America
39,The University of Tokyo,Japan,26112,10.5,15%,,75.9,88.1,91.4,55.5,86.7,43.3,35.88237761473474,139.79553962723477,Asia
40,University of British Columbia,Canada,56452,18.9,34%,55:45:00,75.7,62.9,73.1,88.8,47.9,94.8,48.621799222356294,-125.27619942482798,North America
41,École Polytechnique Fédérale de Lausanne,Switzerland,11641,12.3,62%,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0,48.90342476143921,6.816825030174711,Europe
42,KU Leuven,Belgium,47663,36.5,18%,51:49:00,74.6,59.7,74.9,86.7,99.2,76.8,48.432922451159314,6.624936170910692,Europe
43,Universität Heidelberg,Germany,19347,13.5,21%,55:45:00,74.1,67.2,61.5,96.0,55.7,71.2,50.1302513835143,9.594597575024055,Europe
44,Monash University,Australia,58725,42.5,41%,57:43:00,73.6,56.9,68.7,90.4,78.4,91.0,-37.63093972377165,146.69910842732048,Oceania
45,Chinese University of Hong Kong,Hong Kong,18468,19.0,21%,,73.2,59.1,61.1,95.7,60.9,92.5,23.7735659656102,116.47382486312524,Asia
46,McGill University,Canada,32309,12.5,30%,60:40:00,73.0,62.0,72.4,82.5,43.5,91.0,46.56236180291214,-74.09692080173299,North America
47,Paris Sciences et Lettres - PSL Research University Paris,France,16218,15.0,22%,51:49:00,72.9,68.2,73.5,75.5,78.8,76.3,46.90643500411,1.37391777355846,Europe
48,University of Illinois at Urbana-Champaign,United States,48674,17.4,22%,48:52:00,72.7,67.1,78.9,78.1,50.1,56.2,41.441178672885684,-86.00994832567187,North America
49,Karolinska Institute,Sweden,8021,9.9,27%,70:30:00,72.4,51.1,68.8,94.0,66.4,87.3,56.985353106297524,16.3208358614666,Europe
50,University of Texas at Austin,United States,49171,17.4,10%,53:47:00,72.3,66.2,73.1,87.5,51.3,40.1,28.478198190999798,-95.66071985253906,North America
51,Fudan University,China,36318,11.9,9%,52:48:00,72.0,71.8,75.8,74.5,77.3,45.2,28.902055955966667,119.97110490756542,Asia
52,Shanghai Jiao Tong University,China,37478,11.5,8%,42:58:00,71.2,75.3,82.9,59.9,100.0,43.7,33.525181239047264,122.91197910557244,Asia
53,The University of Queensland,Australia,41372,34.2,41%,55:45:00,71.1,55.9,66.5,84.3,82.0,93.2,-28.723109206240476,153.18432634225786,Oceania
