University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,0.42,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,51.77067317196132,-1.5521001611093754,Europe
2,Harvard University,United States,21887,9.6,0.25,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,42.13388624163738,-70.85459664241168,North America
3,University of Cambridge,United Kingdom,20185,11.3,0.39,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,52.02441131009344,0.2469295397143723,Europe
3,Stanford University,United States,16164,7.1,0.24,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,37.25666626957926,-121.90384842414684,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,0.33,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,42.386913606996224,-71.23165879416048,North America
6,California Institute of Technology,United States,2237,6.2,0.34,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,34.22319852147905,-118.17363111285808,North America
7,Princeton University,United States,8279,8.0,0.23,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,40.07691814041341,-74.5986768207565,North America
8,"University of California, Berkeley",United States,40921,18.4,0.24,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,38.12001980396002,-122.0477208435546,North America
9,Yale University,United States,13482,5.9,0.21,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,41.11047755927272,-73.18769947453885,North America
10,Imperial College London,United Kingdom,18545,11.2,0.61,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.21935970247255,-0.0996255817420069,Europe
11,Columbia University,United States,21781,4.5,0.38,,89.4,89.4,87.7,97.1,44.8,79.9,40.69072565701818,-73.77385854771363,North America
11,ETH Zurich,Switzerland,21665,14.8,0.41,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,47.090203378810266,8.513172206577977,Europe
13,The University of Chicago,United States,15366,6.0,0.36,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,41.90558842612023,-87.77475718454885,North America
14,University of Pennsylvania,United States,21453,6.3,0.23,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,40.20225727184007,-75.26529431845205,North America
15,Johns Hopkins University,United States,17584,4.7,0.29,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,39.09370749248739,-76.73271078521799,North America
16,Tsinghua University,China,38324,11.6,0.1,,88.2,90.1,97.4,88.0,100.0,40.3,39.867610804988544,116.36826685619116,Asia
17,Peking University,China,31994,10.3,0.19,,88.1,92.5,96.7,80.4,91.8,65.0,40.02338206681816,116.09361801588403,Asia
18,University of Toronto,Canada,77468,25.8,0.26,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.944487741753775,-79.6803388595485,North America
19,National University of Singapore,Singapore,32337,19.8,0.25,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,1.502622785226844,103.83411369817964,Asia
20,Cornell University,United States,24027,10.3,0.26,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,42.536226109142966,-76.24660872503338,North America
21,"University of California, Los Angeles",United States,42434,9.7,0.16,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.30575343437528,-118.40962130008674,North America
22,UCL,United Kingdom,36790,10.3,0.6,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.58672662532148,0.1176938057503528,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,0.17,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,42.52437964844605,-83.52272841429532,North America
24,New York University,United States,36337,9.8,0.42,57:43:00,82.7,74.2,84.0,95.0,44.6,74.7,40.7434611126424,-74.09901943011967,North America
25,Duke University,United States,16091,4.2,0.24,52:48:00,82.6,78.1,76.2,95.7,99.6,68.0,35.81349366854532,-79.10706466861883,North America
26,Northwestern University,United States,19175,13.2,0.2,51:49:00,82.1,71.7,80.7,97.5,85.0,67.0,42.20786197474336,-87.9528322070292,North America
26,University of Washington,United States,47727,10.8,0.18,55:45:00,82.1,71.6,82.8,98.9,53.9,63.0,47.76368960075607,-122.46855511569224,North America
28,Carnegie Mellon University,United States,14305,12.9,0.47,44:56:00,81.1,65.4,81.8,98.7,55.2,80.1,40.66213291019535,-79.6876780422115,North America
29,University of Edinburgh,United Kingdom,32845,11.8,0.47,62:38:00,79.8,66.9,74.5,97.1,40.9,95.6,56.23205400234322,-3.455266712734665,Europe
30,Technical University of Munich,Germany,33960,40.6,0.36,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7,48.00416253287752,11.30376188676562,Europe
31,University of Hong Kong,Hong Kong,18087,18.2,0.43,54:46:00,78.5,65.6,74.1,92.4,60.6,98.7,22.266767392837973,113.91387901638232,Asia
32,"University of California, San Diego",United States,37030,11.3,0.28,48:52:00,78.1,60.2,77.2,98.2,93.0,67.8,32.61016856995832,-116.93402991020376,North America
33,LMU Munich,Germany,35003,34.2,0.19,61:39:00,77.7,67.3,78.3,87.4,100.0,70.5,48.00261557867107,11.72989616946899,Europe
34,University of Melbourne,Australia,49588,23.8,0.47,58:42:00,77.6,67.1,75.9,85.8,78.1,93.6,-37.68991920061353,144.823880655641,Oceania
35,King’s College London,United Kingdom,28965,11.8,0.52,63:37:00,77.1,58.0,72.9,98.2,45.6,96.1,51.68758639240567,-0.3199061884392311,Europe
36,"Nanyang Technological University, Singapore",Singapore,24651,15.1,0.25,48:52:00,77.0,60.9,77.9,87.2,84.5,94.5,1.1508173780633892,103.47690246650644,Asia
37,London School of Economics and Political Science,United Kingdom,11120,11.9,0.73,55:45:00,76.5,59.2,74.3,95.1,37.8,92.8,51.80140959162391,-0.3338577807210678,Europe
38,Georgia Institute of Technology,United States,28826,24.7,0.4,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2,33.72298627356299,-84.68270261483205,North America
39,The University of Tokyo,Japan,26112,10.5,0.15,,75.9,88.1,91.4,55.5,86.7,43.3,35.88632180456943,139.9241312780871,Asia
40,University of British Columbia,Canada,56452,18.9,0.34,55:45:00,75.7,62.9,73.1,88.8,47.9,94.8,49.09285392427777,-122.99491984503436,North America
41,École Polytechnique Fédérale de Lausanne,Switzerland,11641,12.3,0.62,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0,46.57836904230479,6.766737252050688,Europe
42,KU Leuven,Belgium,47663,36.5,0.18,51:49:00,74.6,59.7,74.9,86.7,99.2,76.8,50.83445753245461,4.972107516429222,Europe
43,Universität Heidelberg,Germany,19347,13.5,0.21,55:45:00,74.1,67.2,61.5,96.0,55.7,71.2,49.44705923914797,8.532953626663586,Europe
44,Monash University,Australia,58725,42.5,0.41,57:43:00,73.6,56.9,68.7,90.4,78.4,91.0,-38.15071476603833,144.8767909108632,Oceania
45,Chinese University of Hong Kong,Hong Kong,18468,19.0,0.21,,73.2,59.1,61.1,95.7,60.9,92.5,22.21654789176962,114.17472030688218,Asia
46,McGill University,Canada,32309,12.5,0.3,60:40:00,73.0,62.0,72.4,82.5,43.5,91.0,45.7959475329577,-73.28152208747817,North America
47,Paris Sciences et Lettres - PSL Research University Paris,France,16218,15.0,0.22,51:49:00,72.9,68.2,73.5,75.5,78.8,76.3,48.77956633743612,2.5581888463280658,Europe
