rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
1,California Institute of Technology,2243,6.9,26,33,95.2,95.6,97.6,99.8,97.8,64,"1200 East California Boulevard, Pasadena, California, 91125, United States",,,,,United States
2,University of Oxford,19920,11.6,34,46,94.2,86.5,98.9,98.8,73.1,94.4,"University Offices, Wellington Square, Oxford, Oxfordshire, OX1 2JD, United Kingdom",,,,,United Kingdom
3,Stanford University,15596,7.8,22,42,93.9,92.5,96.2,99.9,63.3,76.3,"450 Jane Stanford Way, Stanford, California, United States",,,,,United States
4,University of Cambridge,18810,11.8,34,46,92.8,88.2,96.7,97,55,91.5,"The Old Schools, Trinity Lane, Cambridge, Cambridgeshire, CB2 1TN, United Kingdom",,,,,United Kingdom
5,Massachusetts Institute of Technology,11074,9.0,33,37,92,89.4,88.6,99.7,95.4,84,"77 Massachusetts Avenue, Cambridge, Massachusetts, 02139-4307, United States",,,,,United States
6,Harvard University,20152,8.9,25,,91.6,83.6,99,99.8,45.2,77.2,"Massachusetts Hall, Cambridge, Massachusetts, 02138, United States",,,,,United States
7,Princeton University,7929,8.4,27,45,90.1,85.1,91.9,99.3,52.1,78.5,"Princeton, New Jersey, 08544, United States",,,,,United States
8,Imperial College London,15060,11.7,51,37,89.1,83.3,88.5,96.7,53.7,96,"South Kensington Road, Kensington, London, SW7 2AZ, United Kingdom",,,,,United Kingdom
9,ETH Zurich,18178,14.7,37,31,88.3,77,95,91.1,80,97.9,"Rämistrasse 101, Zürich, 8092, Switzerland",,,,,Switzerland
10,The University of Chicago,14221,6.9,20,42,87.9,85.7,88.9,99.2,36.6,65,"Edward H. Levi Hall, 5801 South Ellis Avenue, Chicago, Illinois, 60637, United States",,,,,United States
11,Johns Hopkins University,15128,3.6,23,50,87.6,77.6,90.4,98.2,100,70,"Baltimore, Maryland, 21218, United States",,,,,United States
